API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Spotify Web,https://rapidapi.com/UnlimitedAPI/api/spotify-web2/,spotify-web2.p.rapidapi.com,GET:Search,Search,,[{}],"[{'参数名': ['offset', 'limit', 'numberOfTopResults'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['', '', '']}]"
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:All chords,Returns the full list of available chords,,[{}],[{}]
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:All chords (v2),"The response is an object with a 'result' property, holding an array of all available chord objects.",,[{}],[{}]
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:All chords for a certain root,"v1: Returns an object with all chords for a certain root
v2: Returns an object with an array of all chords for a certain root",,[{}],"[{'参数名': ['root'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:All chords for a certain root (v2),"The response is an object, with a 'result' property, holding an array of all chord objects for the specified root note.",,"[{'参数名': ['root'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:All chords for a certain name,"v1: Returns an object with all chords for a certain name
v2: Returns an object with an array of all chords for a certain name",,"[{'参数名': ['name'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:All chords for a certain name (v2),"The response is an object with a 'result' property, holding an array of all chords with the specified name.",,"[{'参数名': ['name'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:Chord defined by root and name,"v1: The response is a chord object with name, an array of notes, an array of intervals and an array of midi keys
v2: The response's result property is an array holding the specified chord object",,"[{'参数名': ['root', 'name'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:Chord defined by root and name (v2),"The response is an object with a 'result' property, holding an array with one chord object.",,"[{'参数名': ['root', 'name'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:Search for a chord by entering notes or midi keys,Returns an array of chord objects (when a match is found),,[{}],"[{'参数名': ['n3'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Piano Chords,https://rapidapi.com/jsdisco/api/piano-chords/,piano-chords.p.rapidapi.com,GET:Search for a chord by entering notes or midi keys (v2),"The response is an object with a 'result' property, holding an array of chord object(s), or an empty array when no match was found. Only exact matches are returned.",,[{}],"[{'参数名': ['n3'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Shazam Core,https://rapidapi.com/WaveTech/api/shazam-core7/,shazam-core7.p.rapidapi.com,GET:search,"Search for songs, artists that match input term",,[{}],"[{'参数名': ['limit'], '参数类型': ['NUMBER'], '参数注意事项': ['number of result you want to get']}]"
Billboard,https://rapidapi.com/apimaker/api/billboard2/,billboard2.p.rapidapi.com,GET:Billboard Global 200,"Provide Billboard Global 200 chart information. Available from SEPTEMBER 19, 2020",,"[{'参数名': ['date'], '参数类型': ['DATE (YYYY-MM-DD)'], '参数注意事项': ['Set the date for which you want to get a chart.']}]",[{}]
Billboard,https://rapidapi.com/apimaker/api/billboard2/,billboard2.p.rapidapi.com,GET:Billboard Global Excl. US,"Billboard Global Excl. US. Available from SEPTEMBER 19, 2020",,"[{'参数名': ['date'], '参数类型': ['DATE (YYYY-MM-DD)'], '参数注意事项': ['Set the date for which you want to get a chart.']}]",[{}]
Billboard,https://rapidapi.com/apimaker/api/billboard2/,billboard2.p.rapidapi.com,GET:Artist 100,Provide the Artist 100 chart information.,,"[{'参数名': ['date'], '参数类型': ['DATE (YYYY-MM-DD)'], '参数注意事项': ['Set the date for which you want to get a chart.']}]",[{}]
Billboard,https://rapidapi.com/apimaker/api/billboard2/,billboard2.p.rapidapi.com,GET:Billboard 200,Provide the Billboard 100 chart information.,,"[{'参数名': ['date'], '参数类型': ['DATE (YYYY-MM-DD)'], '参数注意事项': ['Set the date for which you want to get a chart.']}]",[{}]
Billboard,https://rapidapi.com/apimaker/api/billboard2/,billboard2.p.rapidapi.com,GET:Hot 100,Provide the Hot 100 chart information,,"[{'参数名': ['date'], '参数类型': ['DATE (YYYY-MM-DD)'], '参数注意事项': ['Set the date for which you want to get a chart.']}]",[{}]
Spotify Downloader Api,https://rapidapi.com/salmanakbar264/api/spotify-downloader-api/,spotify-downloader-api.p.rapidapi.com,GET:GetSpotifyUserInfo,This API allows you to retrieve information about Spotify tracks and their details.,,"[{'参数名': ['Tracklink'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Spotify Artist Monthly Listeners,https://rapidapi.com/music-metrics-music-metrics-default/api/spotify-artist-monthly-listeners/,spotify-artist-monthly-listeners.p.rapidapi.com,GET:Get Artist Monthly Listeners Count,Get the monthly listeners count of any artist on Spotify!,,"[{'参数名': ['spotify_artist_id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Spotify,https://rapidapi.com/420vijay47/api/spotify117/,spotify117.p.rapidapi.com,GET:Search,Search Spotify,,"[{'参数名': ['keyword', 'type'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', 'ACCEPTED VALUES:\nalbum\nartist\ntrack\nyear\ngenre']}]",[{}]
