API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Send SMS,https://rapidapi.com/sukh.panwar18/api/send-sms18/,send-sms18.p.rapidapi.com,POST:send-sms,just send sms,,[{}],[{}]
Wipple SMS Verify OTP,https://rapidapi.com/wipple/api/wipple-sms-verify-otp/,wipple-sms-verify-otp.p.rapidapi.com,POST:Send verification code,Send verification code to specified Phone Number via SMS,,[{}],[{}]
Wipple SMS Verify OTP,https://rapidapi.com/wipple/api/wipple-sms-verify-otp/,wipple-sms-verify-otp.p.rapidapi.com,GET:Check verification code,Check verification code we sent,,[{}],"[{'参数名': ['app_name'], '参数类型': ['STRING'], '参数注意事项': ['Same character string as when sending']}]"
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Get Pricing,Retrieves pricing information for a single country or all.,,[{}],"[{'参数名': ['format', 'country'], '参数类型': ['ENUM', 'STRING'], '参数注意事项': ['Whether to return the response as JSON or CSV. The default is JSON.', 'An ISO Code of the country you wish to retrieve the pricing for.\nExamples:\n\\""de\\"" for Germany\n\\""uk\\"" for Great Britain\n\\""fr\\"" for France\nIf this parameter is not specified, the prices of all countries are getting returned.']}]"
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Get Balance,Retrieves the account balance for the given API key.,,"[{'参数名': ['p'], '参数类型': ['STRING'], '参数注意事项': ['Your API key from Sms77.io.']}]",[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Get Analytics,Get detailed statistics of your account directly through our API.,,[{}],"[{'参数名': ['start', 'end', 'label', 'subaccounts', 'group_by'], '参数类型': ['DATE (YYYY-MM-DD)', 'DATE (YYYY-MM-DD)', 'STRING', 'STRING', 'ENUM'], '参数注意事项': ['Start date of the statistics in the format YYYY-MM-DD.\nBy default, the date of 30 days ago is set.', 'End date of the statistics.\nBy default, the current day.', ""Shows only data of a specific label.\nAllowed values: 'all' (default) or ."", ""Receive the data only for the main account, all your (sub-)accounts or only for specific subaccounts. Allowed values: 'only_main', 'all' or subaccount ID."", 'Defines the grouping of the data.']}]"
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Get Contacts,Retrieves all contacts for a given API key.,Contacts,[{}],"[{'参数名': ['json'], '参数类型': ['ENUM'], '参数注意事项': ['Decides whether to return response as JSON or CSV (default).']}]"
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Create Contact,Creates a single contact for a given API key.,Contacts,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Delete Contact,Deletes a single contact by ID for the given API key.,Contacts,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Edit Contact,Edit a contact with a given ID.,Contacts,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Home Location Register,Retrieves Home Location Register information for a given phone number.,Lookup,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Number Format Lookup,Retrieves the network operator as well as additional (porting) information for the given phone number.,Lookup,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Mobile Number Portability,Retrieves Mobile Number Portability information for a given phone number.,Lookup,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Number Format Lookup,Retrieves the network operator as well as additional (porting) information for the given phone number.,Lookup,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Get Status,Get a delivery report for a message ID sent with your API key.,SMS,"[{'参数名': ['p', 'msg_id'], '参数类型': ['STRING', 'NUMBER'], '参数注意事项': ['API Key', 'The message ID of the SMS.\nCan be obtained by setting parameter JSON, return_msg_id or details to 1 when sending SMS via the API.\nAlternatively it can be retrieved from the message journal in the user area.']}]",[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Send SMS,Send SMS to one/multiple user(s) and/or contact(s).,SMS,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Validate Caller ID,"The caller ID validation API allows you to automatically validate caller IDs for the Voice API. After calling this endpoint you will get a code back if successful. At the same time, the phone number is going to receive a call from us. The returned code must then be en...",Voice,[{}],[{}]
