API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Streaming Availability,https://rapidapi.com/movie-of-the-night-movie-of-the-night-default/api/streaming-availability/,streaming-availability.p.rapidapi.com,GET:Search by Filters,"Search through the catalog of the given streaming services in the given country. Provides filters such as show language, genre, keyword and release year. Items per page is 25. Can pass up to 16 services in the services parameter Output in...",,[{}],"[{'参数名': ['keyword', 'cursor', 'output_language', 'year_max', 'order_by', 'genres', 'genres_relation', 'year_min', 'show_original_language', 'desc', 'show_type'], '参数类型': ['STRING', 'STRING', 'STRING', 'NUMBER', 'STRING', 'STRING', 'STRING', 'NUMBER', 'STRING', 'BOOLEAN', 'STRING'], '参数注意事项': ['A keyword to only search within the shows have that keyword in their overview or title.', 'Cursor is used for pagination. After each request, the response includes a hasMore boolean field to tell if there are more results that did not fit into the returned list. If it is set as true, to get the rest of the result set, send a new request (with the same parameters for other fields such as services etc.), and set the cursor parameter as the nextCursor value of the previous request response. Do not forget to escape the cursor value before putting it into a query as it might contain characters such as ?and &.\nThe first request naturally does not require a cursor parameter.', 'ISO 639-1 code of the output language. Determines in which language the output field title will be in. It also effects how the keyword input will be handled in search endpoints. (i.e. if output_language is es, then the keyword will be treated as a Spanish word).', 'Maximum release/air year of the shows.', 'Determines the ordering of the results.', 'A comma seperated list of genre ids to only search within the shows in those genre. See /genres endpoint to see the available genres and their ids. Use genres_relation parameter to specify between returning shows that have at least one of the given genres or returning shows that have all of the given genres.', 'Only used when there are multiple genres supplied in genres parameter.\nWhen or, the endpoint returns any show that has at least one of the given genres. When and, it only returns the shows that have all of the given genres.', 'Minimum release/air year of the shows.', 'ISO 639-1 language code to only search within the shows whose original language matches with the provided language.', 'The results are ordered in descending order if set true.', 'Type of shows to search in.']}]"
Streaming Availability,https://rapidapi.com/movie-of-the-night-movie-of-the-night-default/api/streaming-availability/,streaming-availability.p.rapidapi.com,GET:Search by Title,"Search for movies and series by a title. Maximum amount of items returned are 25 unless there are more than 25 shows with the exact given title input. In that case all the items have 100% match with the title will be returned.
No pagination is supported.",,[{}],"[{'参数名': ['show_type', 'output_language'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Type of shows to search in.', 'ISO 639-1 code of the output language. Determines in which language the output field title will be in. It also effects how the keyword input will be handled in search endpoints. (i.e. if output_language is es, then the keyword will be treated as a Spanish word).']}]"
Streaming Availability,https://rapidapi.com/movie-of-the-night-movie-of-the-night-default/api/streaming-availability/,streaming-availability.p.rapidapi.com,GET:Changes,"Query the new, removed or updated movies/series/seasons/episodes in a given list of streaming services. Results are ordered by the date of the changes. Changes listed per page is 25 when target_type is show, movie or se...",,[{}],"[{'参数名': ['cursor', 'desc', 'output_language', 'since'], '参数类型': ['STRING', 'BOOLEAN', 'STRING', 'NUMBER'], '参数注意事项': ['Cursor is used for pagination. After each request, the response includes a hasMore boolean field to tell if there are more results that did not fit into the returned list. If it is set as true, to get the rest of the result set, send a new request (with the same parameters for other fields such as services etc.), and set the cursor parameter as the nextCursor value of the previous request response. Do not forget to escape the cursor value before putting it into a query as it might contain characters such as ?and &.\nThe first request naturally does not require a cursor parameter.', 'The results are ordered in descending order if set true.', 'ISO 639-1 code of the output language. Determines in which language the output field title will be in. It also effects how the keyword input will be handled in search endpoints. (i.e. if output_language is es, then the keyword will be treated as a Spanish word).', 'Unix Time Stamp to only query the changes since then. Must be within the past 31 days. If not supplied, the changes withing the past 15 days are returned.']}]"
Streaming Availability,https://rapidapi.com/movie-of-the-night-movie-of-the-night-default/api/streaming-availability/,streaming-availability.p.rapidapi.com,GET:Leaving,"Query for the leaving movies/series/seasons/episodes in a given list of streaming services. Results are ordered by the last day to watch. Changes listed per page is 25 when target_type is show, movie or series; <...",,[{}],"[{'参数名': ['output_language', 'cursor'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['ISO 639-1 code of the output language. Determines in which language the output field title will be in. It also effects how the keyword input will be handled in search endpoints. (i.e. if output_language is es, then the keyword will be treated as a Spanish word).', 'Cursor is used for pagination. After each request, the response includes a hasMore boolean field to tell if there are more results that did not fit into the returned list. If it is set as true, to get the rest of the result set, send a new request (with the same parameters for other fields such as services etc.), and set the cursor parameter as the nextCursor value of the previous request response. Do not forget to escape the cursor value before putting it into a query as it might contain characters such as ?and &.\nThe first request naturally does not require a cursor parameter.']}]"
Streaming Availability,https://rapidapi.com/movie-of-the-night-movie-of-the-night-default/api/streaming-availability/,streaming-availability.p.rapidapi.com,GET:Services (Deprecated),Note: This endpoint is depreacated. Use /countries endpoint instead.,,[{}],[{}]
Movie Database IMDb,https://rapidapi.com/contactazguer/api/movie-database-imdb/,movie-database-imdb.p.rapidapi.com,GET:Get movie,movie info,,[{}],"[{'参数名': ['name'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movie Database IMDb,https://rapidapi.com/contactazguer/api/movie-database-imdb/,movie-database-imdb.p.rapidapi.com,GET:stars info,search by name of star,,[{}],"[{'参数名': ['name'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movie Database IMDb,https://rapidapi.com/contactazguer/api/movie-database-imdb/,movie-database-imdb.p.rapidapi.com,GET:Get Popular TV Series,Popular TV Series info,,[{}],[{}]
Movie Database IMDb,https://rapidapi.com/contactazguer/api/movie-database-imdb/,movie-database-imdb.p.rapidapi.com,GET:Get Popular Movies,Popular Movies info,,[{}],[{}]
Movie Database IMDb,https://rapidapi.com/contactazguer/api/movie-database-imdb/,movie-database-imdb.p.rapidapi.com,GET:Get all movies,movies info,,[{}],"[{'参数名': ['name'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
